,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
214,acc.cases_on,334734,90947,136555,0,30209,30209,0
215,prod.map,356485,118429,141731,0,31288,31288,0
216,monad_state.cases_on,325856,88758,132471,0,28889,28889,0
217,is_left_inv.left_inv,409229,190372,160708,0,41770,41770,0
218,cc_config.cases_on,344643,409587,149872,2,56855,56855,0
219,ordering.or_else._main.equations._eqn_2,56260,7442,22194,0,4602,4602,0
220,is_left_distrib.rec_on,332611,101944,135928,0,29918,29918,0
221,has_subset.no_confusion_type,320974,93169,132467,0,28725,28725,0
222,io.process.stdio.no_confusion_type,-1,-1,-1,-1,-1,-1,200
223,except.to_option,315525,90149,130636,0,28003,28003,0
224,has_add.no_confusion_type,325153,95015,134602,0,28956,28956,0
225,int.nat_abs_of_neg_succ_of_nat,68197,7487,29411,0,5372,5372,0
226,is_strict_order.dcases_on,434577,146813,168222,0,40248,40248,0
227,function.right_inverse.equations._eqn_1,135936,18672,57678,0,10985,10985,0
228,string.to_list.equations._eqn_1,236813,195007,97870,2,31009,31009,0
229,is_equiv.drec_on,438149,186947,169765,0,45861,45861,0
230,asymm_of,367078,127999,147716,0,34786,34786,0
231,has_monad_lift_t_trans,-1,-1,-1,-1,-1,-1,200
232,string.iterator.extract._match_1,413264,301511,169597,2,52019,52019,0
234,is_strict_weak_order.dcases_on,448751,198535,174065,0,46635,46635,0
235,tactic.interactive.case_tag.match_result.no_confusion_type,178884,29730,72271,0,14025,14025,0
236,int.nonneg.equations._eqn_1,161709,28413,66809,0,13276,13276,0
237,mjoin,457579,154753,174080,0,43689,43689,0
238,tactic.interactive.case_tag.match_result.combine._main,154163,22049,63719,0,12261,12261,0
239,option.get_or_else._main.equations._eqn_1,54638,5973,21442,0,4113,4113,0
240,vm_obj_kind.cases_on,406443,171798,159760,0,41201,41201,0
241,monad_io.cases_on,-1,-1,-1,-1,-1,-1,200
242,monad_except_adapter.rec_on,431135,176136,171430,0,40599,40599,0
243,option_t.has_monad_lift,-1,-1,-1,-1,-1,-1,200
244,is_cond_right_inv.cases_on,453218,184479,178668,0,44135,44135,0
245,option.is_none.equations._eqn_2,57649,6364,22550,0,4280,4280,0
246,monad_functor.monad_map,516328,286006,215436,0,62845,62845,0
247,and.imp,303432,92856,126324,0,29761,29761,0
248,option.get_or_else.equations._eqn_2,57014,6072,21956,0,4140,4140,0
249,monad_functor_t.rec_on,432479,196329,175042,0,41433,41433,0
250,subtype.sizeof,364282,94654,144385,0,32354,32354,0
